trial_id,phase,label,outcome,target_size,spawn_ts,end_ts,time_to_end_ms,approach_time_ms,tail_time_ms,dwell_in_target_ms,miss_clicks,center_x,center_y,end_x,end_y,end_dx,end_dy,end_radial_error,overshoot_px,max_speed_px_s,median_speed_px_s,stop_time_ms,pause_count,accel_p50,jerk_p50,jerk_p90,heading_total_change,curv_p50,curv_p90,pre_click_ms,click_hold_ms,points_in_trial
1,1,P1_TARGET,HIT,46,4564.917771,4565.556775,639.004,403.624,235.38,246.476,0,618.0,439.0,599.0,437.0,-19.0,-2.0,19.105,17.165,1623.127,0.0,405.107,1,0.0,0.0,4026965.928,6.23926,0.0,0.035558082,145.572,89.804,42
2,1,P1_TARGET,HIT,46,4565.917434,4566.727439,810.005,678.093,131.912,142.057,0,1022.0,629.0,1007.0,627.0,-15.0,-2.0,15.133,18.109,6408.337,0.0,456.827,0,4039.157,492582.613,21095117.442,6.455439,0.0,0.048565742,64.784,67.124,55
3,1,P1_TARGET,HIT,46,4567.372616,4568.14482,772.205,570.756,201.449,202.214,0,853.0,372.0,862.0,383.0,9.0,11.0,14.213,25.757,1734.04,0.0,400.645,0,4403.888,694234.782,7937774.521,7.707752,0.0,0.0810239,110.596,90.851,54
4,1,P1_TARGET,HIT,46,4568.767565,4569.577136,809.571,591.481,218.091,220.841,0,874.0,574.0,871.0,585.0,-3.0,11.0,11.402,23.934,2371.305,0.0,491.414,0,0.0,139858.849,3063573.919,5.581245,0.0,0.040568365,135.426,82.663,56
5,1,P1_TARGET,HIT,46,4569.976188,4570.851927,875.74,816.396,59.344,57.272,1,352.0,292.0,374.0,310.0,22.0,18.0,28.425,9.588,4230.08,123.687,333.534,1,7317.859,899297.099,6897151.686,8.675326,0.0,0.143891222,0.0,0.0,59
6,1,P1_TARGET,HIT,46,4571.662189,4572.419979,757.791,562.76,195.031,186.868,0,493.0,522.0,510.0,514.0,17.0,-8.0,18.788,18.855,2290.577,28.589,362.633,0,3346.332,472523.6,8457915.545,8.487433,0.0,0.1522533,113.63,81.399,50
7,1,P1_TARGET,HIT,46,4572.903194,4573.702512,799.317,604.1,195.217,204.029,0,1089.0,291.0,1093.0,293.0,4.0,2.0,4.472,35.953,7534.654,227.804,226.296,0,14793.648,1564757.552,24849427.296,5.476283,0.0,0.028140791,129.276,65.939,56
