ts,x,y,buttons,active_trial_id,dt_ms,vx,vy,speed_px_s,ax,ay,accel_px_s2,jerk_px_s3,heading_rad,dheading_rad,curv,dist_to_target,inside_target,target_trial_id,label,target_cx,target_cy,target_size
4564.5160048,683,356,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.0,
4564.5280332,683,356,0,,12.028400000417605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.0,
4564.544117,684,356,0,,16.08380000016041,62.17436177955624,0.0,62.17436177955624,3865.651262695144,0.0,3865.651262695144,240344.4001204063,0.0,0.0,0.0,0.0,0,,,0.0,0.0,
4564.5597084,685,357,0,,15.591399999721034,64.13792218902037,64.13792218902037,90.70471942214287,125.93868475565132,4113.673062724833,4115.600395969692,356573.1401034824,0.7853981633974483,0.7853981633974483,0.5553603672697958,0.0,0,,,0.0,0.0,
4564.5708337,687,358,0,,11.125299999548588,179.77043316415293,89.88521658207647,200.98945444981427,10393.653292929124,2314.30113292233,10648.19320389436,936980.4269301728,0.4636476090008061,-0.3217505543966422,0.14389122228582715,0.0,0,,,0.0,0.0,
4564.5907189,691,361,0,,19.885200000317127,201.15462755899907,150.86597066924932,251.44328444874884,1075.3824147861274,3066.6402191680418,3249.727615024105,470128.17281349585,0.6435011087932845,0.1798534997924784,0.03597069995849568,0.0,0,,,0.0,0.0,
4564.606455,695,366,0,,15.73610000014014,254.1925890128035,317.7407362660044,406.9066819209222,3370.464184475956,10604.58217698597,11127.317375148588,500733.46949538676,0.8960553845713439,0.25255427577805944,0.03944235132931201,0.0,0,,,0.0,0.0,
4564.621721,699,369,0,,15.266000000337954,262.0201755477171,196.51513166078783,327.5252194346464,512.7463994982515,-7940.888549884246,7957.425452486573,1229159.9272025537,0.6435011087932844,-0.25255427577805956,0.05051085515561191,0.0,0,,,0.0,0.0,
4564.6299046,703,372,0,,8.183599999938451,488.7824429383259,366.58683220374445,610.9780536729074,27709.353755353917,20782.015316515437,34636.692194192394,4833544.12668356,0.6435011087932844,0.0,0.0,0.0,0,,,0.0,0.0,
4564.638026,703,372,0,,8.121399999254209,0.0,0.0,0.0,-60184.505501909895,-45138.379126432425,75230.63187738736,13528126.19519651,0.6435011087932844,0.0,0.0,0.0,0,,,0.0,0.0,
4564.6528046,706,376,0,,14.778600000681763,202.996224260864,270.6616323478187,338.3270404347734,13735.82235472233,18314.42980629644,22893.03725787055,6591900.651984947,0.9272952180016122,0.2837941092083278,0.056758821841665565,0.0,0,,,0.0,0.0,
4564.6616307,706,376,0,,8.82610000007844,0.0,0.0,0.0,-22999.53821722617,-30666.050956301562,38332.56369537695,6936880.496788316,0.9272952180016122,0.0,0.0,0.0,0,,,0.0,0.0,
4564.6786188,709,381,0,,16.98809999925288,176.5942041859853,294.32367364330884,343.23743650565626,10395.170984027156,17325.28497337859,20204.58064885134,3441636.8127764477,1.0303768265243125,0.10308160852270032,0.017678350015857085,0.0,0,,,0.0,0.0,
4564.6868403,713,391,0,,8.22150000021793,486.5292221485095,1216.3230553712738,1310.0200223783393,37698.11080147281,112144.91050337836,118311.5738624538,12001732.636456057,1.1902899496825317,0.15991312315821915,0.014847560741907025,0.0,0,,,0.0,0.0,
4564.6953946,713,391,0,,8.554300000469084,0.0,0.0,0.0,-56875.39858572065,-142188.49646430163,153141.6974277852,31720632.160893872,1.1902899496825317,0.0,0.0,0.0,0,,,0.0,0.0,
4564.7109658,720,405,0,,15.571199999612872,449.5478832828576,899.0957665657152,1005.2196261616109,28870.47133772825,57740.9426754565,64556.33645361965,13970735.12017625,1.1071487177940904,-0.08314123188844125,0.005311698463875081,0.0,0,,,0.0,0.0,
4564.7279138,723,413,0,,16.94800000041141,177.0120368142067,472.03209817121785,504.1305018356222,-16080.708429433273,-25198.469930618972,29892.341334140336,5566288.136697562,1.2120256565243244,0.10487693873023396,0.012274917223404881,0.0,0,,,0.0,0.0,
4564.7439732,723,416,0,,16.05939999990369,0.0,186.80648094063235,186.80648094063235,-11022.33189379854,-17760.664609655156,20902.942562082153,560101.5089131288,1.5707963267948966,0.3587706702705722,0.11959022342352406,0.0,0,,,0.0,0.0,
4564.7609031,723,419,0,,16.92989999992278,0.0,177.20128293809668,177.20128293809668,0.0,-567.3511363079216,567.3511363079216,1206331.4601871537,1.5707963267948966,0.0,0.0,0.0,0,,,0.0,0.0,
4564.7788537,724,423,0,,17.950599999494443,55.70844428755383,222.83377715021533,229.69180003642123,3103.430764939489,2542.115261517934,4011.686991231407,244737.4342787154,1.3258176636680326,-0.244978663126864,0.05941605318203922,0.0,0,,,0.0,0.0,
