trial_id,phase,label,outcome,target_size,spawn_ts,end_ts,time_to_end_ms,approach_time_ms,tail_time_ms,dwell_in_target_ms,miss_clicks,center_x,center_y,end_x,end_y,end_dx,end_dy,end_radial_error,overshoot_px,max_speed_px_s,median_speed_px_s,stop_time_ms,pause_count,accel_p50,jerk_p50,jerk_p90,heading_total_change,curv_p50,curv_p90,pre_click_ms,click_hold_ms,points_in_trial
22,1,P1_TARGET,HIT,46,5483.065759,5484.153551,1087.792,879.081,208.71,201.934,1,1225.0,514.0,1231.0,510.0,6.0,-4.0,7.211,35.151,7762.179,547.086,585.358,0,5434.975,852073.961,15135867.692,9.589866,0.0,0.05519022,117.698,91.01,74
23,1,P1_TARGET,HIT,46,5485.008738,5485.969048,960.31,792.006,168.303,172.264,1,842.0,616.0,848.0,618.0,6.0,2.0,6.325,33.051,1795.493,495.492,577.215,0,2828.959,438435.121,6860217.895,7.844134,0.0,0.035805857,107.304,60.997,66
24,1,P1_TARGET,HIT,46,5486.478686,5487.363994,885.308,477.297,408.011,241.991,0,130.0,457.0,135.0,445.0,5.0,-12.0,13.0,16.732,12389.242,413.991,323.993,0,8156.071,1254327.869,9436490.495,11.537564,0.0,0.257715273,303.401,104.608,59
25,1,P1_TARGET,HIT,46,5487.948857,5488.600648,651.791,442.998,208.792,216.489,0,711.0,314.0,720.0,330.0,9.0,16.0,18.358,21.961,1451.962,371.63,387.223,1,0.0,277098.605,4131308.71,5.497787,0.0,0.068173311,118.628,90.162,43
26,1,P1_TARGET,HIT,46,5488.975656,5489.84843,872.774,729.028,143.746,155.492,0,1077.0,332.0,1067.0,333.0,-10.0,1.0,10.05,24.663,4776.523,444.006,307.588,1,7851.316,650669.797,19866925.247,13.718755,0.003019616,0.555360367,6.323,137.421,59
27,1,P1_TARGET,HIT,46,5490.544571,5491.460776,916.205,613.7,302.505,308.676,0,1148.0,239.0,1140.0,246.0,-8.0,7.0,10.63,15.811,6971.1,670.982,335.879,0,16713.254,2250553.426,45005584.145,10.687114,0.000733897,0.157505914,183.853,118.65,65
28,1,P1_TARGET,HIT,46,5492.201609,5493.101776,900.168,705.619,194.548,206.475,0,1025.0,526.0,1040.0,524.0,15.0,-2.0,15.133,20.56,5978.131,573.248,345.419,1,14334.007,1465897.498,20746431.933,8.78856,6.5021e-05,0.096913298,96.333,98.214,62
29,1,P1_TARGET,HIT,46,5494.045783,5495.275477,1229.694,1055.578,174.116,187.558,0,269.0,512.0,281.0,511.0,12.0,-1.0,12.042,26.011,15380.065,323.116,535.074,0,8535.214,1005505.247,32876161.121,14.073577,0.0,0.074610106,100.676,73.438,86
30,1,P1_TARGET,HIT,46,5495.965562,5496.87374,908.178,672.873,235.304,239.773,0,1117.0,531.0,1126.0,521.0,9.0,-10.0,13.454,18.714,7811.043,316.353,292.252,0,5369.327,587362.608,22338904.095,6.530973,0.0,0.044871789,99.685,135.617,61
31,2,P2_SWEEP,HIT,46,5497.650539,5498.515693,865.154,733.288,131.866,139.886,0,70.0,432.0,81.0,427.0,11.0,-5.0,12.083,24.917,7545.334,226.914,438.474,0,3997.465,500335.589,13124270.618,8.098185,0.0,0.188022553,35.619,96.245,59
32,2,P2_SWEEP,HIT,46,5499.197941,5500.16633,968.389,772.362,196.027,207.361,0,1350.0,432.0,1353.0,419.0,3.0,-13.0,13.342,22.43,4231.036,596.751,358.579,0,15888.855,1454674.837,14215610.075,5.901934,0.0,0.040885154,68.076,127.949,67
33,2,P2_SWEEP,HIT,46,5501.095634,5501.989815,894.182,668.467,225.715,233.36,0,710.0,174.0,713.0,184.0,3.0,10.0,10.44,25.407,3047.324,353.616,476.446,0,5284.266,446349.816,9397396.521,6.639214,0.0,0.064830019,111.032,114.681,60
34,2,P2_SWEEP,HIT,46,5502.663784,5503.518183,854.398,754.051,100.348,109.298,0,710.0,690.0,710.0,670.0,0.0,-20.0,20.0,18.21,3354.246,158.793,399.549,0,4072.946,530507.396,6317953.633,9.254189,0.0,0.207349514,18.944,81.402,57
35,2,P2_SWEEP,HIT,46,5504.193285,5505.108715,915.431,692.813,222.617,239.034,0,70.0,174.0,73.0,179.0,3.0,5.0,5.831,28.228,6310.843,293.995,316.275,0,7751.972,742190.393,11754215.9,5.82695,0.000354373,0.103186845,102.825,119.791,62
36,2,P2_SWEEP,HIT,46,5505.679484,5507.148811,1469.326,748.322,721.005,183.892,2,1350.0,174.0,1360.0,166.0,10.0,-8.0,12.806,23.249,3882.948,514.618,603.335,2,5861.265,783169.867,9246811.7,9.785233,0.0,0.027726949,670.076,50.927,100
37,2,P2_SWEEP,HIT,46,5507.957792,5509.210746,1252.955,1210.411,42.544,47.661,1,70.0,690.0,49.0,689.0,-21.0,-1.0,21.024,16.989,7944.669,265.188,760.121,0,0.0,234859.089,13425365.261,7.656185,0.0,0.03021669,0.0,0.0,83
38,2,P2_SWEEP,HIT,46,5510.260975,5511.273786,1012.811,738.923,273.888,283.656,0,1350.0,690.0,1358.0,688.0,8.0,-2.0,8.246,30.079,7833.362,633.424,366.34,0,7369.694,901424.417,22150102.329,7.44141,0.0,0.028132038,165.125,108.761,68
39,2,P2_SWEEP,HIT,46,5512.011288,5513.020806,1009.518,823.94,185.578,200.927,0,70.0,432.0,84.0,428.0,14.0,-4.0,14.56,21.936,10256.114,327.637,465.401,0,4544.414,809345.487,11755643.529,10.073707,0.0,0.143891222,51.584,133.991,70
