session_id,t,x,y,event_type,buttons,button,click_id,target_id,label,phase,extra
2026-02-27_164756,5454.163857,728,428,down,1,left,1,0,BASE,0,{}
2026-02-27_164756,5454.243519,728,428,up,1,left,1,,,,"{""hold_ms"": 79.661}"
2026-02-27_164756,5454.422298,728,428,session_start,0,,1,,,,"{""mode"": ""NORMAL""}"
2026-02-27_164756,5454.422342,728,428,move,0,,1,,,,{}
2026-02-27_164756,5454.4378,728,428,move,0,,1,,,,{}
2026-02-27_164756,5454.452851,728,428,move,0,,1,,,,{}
2026-02-27_164756,5454.468585,728,428,move,0,,1,,,,{}
2026-02-27_164756,5454.478117,728,428,move,0,,1,,,,{}
2026-02-27_164756,5454.500239,728,428,move,0,,1,,,,{}
2026-02-27_164756,5454.515557,728,428,move,0,,1,,,,{}
2026-02-27_164756,5454.530697,728,428,move,0,,1,,,,{}
2026-02-27_164756,5454.541386,728,428,move,0,,1,,,,{}
2026-02-27_164756,5454.561605,726,428,move,0,,1,,,,{}
2026-02-27_164756,5454.571827,726,428,move,0,,1,,,,{}
2026-02-27_164756,5454.592638,725,428,move,0,,1,,,,{}
2026-02-27_164756,5454.608187,725,428,move,0,,1,,,,{}
2026-02-27_164756,5454.620535,725,428,move,0,,1,,,,{}
2026-02-27_164756,5454.638741,724,428,move,0,,1,,,,{}
2026-02-27_164756,5454.654728,724,428,move,0,,1,,,,{}
2026-02-27_164756,5454.670196,724,428,move,0,,1,,,,{}
2026-02-27_164756,5454.686084,724,428,move,0,,1,,,,{}
2026-02-27_164756,5454.6922,724,428,target_spawn,1,,2,1,P1_TARGET,1,"{""label"": ""P1_TARGET"", ""size"": 46}"
2026-02-27_164756,5454.692227,724,428,down,1,left,2,0,BASE,0,{}
2026-02-27_164756,5454.701529,724,428,move,1,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.716671,724,428,move,1,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.732306,724,428,move,1,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.747801,724,428,move,1,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.763362,724,428,move,1,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.779288,724,428,move,1,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.783613,724,428,up,1,left,2,,,,"{""hold_ms"": 91.58}"
2026-02-27_164756,5454.788069,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.810575,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.826154,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.842003,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.857189,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.873088,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.888924,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.905018,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.921063,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.936618,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.952568,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.967831,724,428,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.983611,724,429,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5454.999131,734,442,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.014936,750,459,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.030116,764,471,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.04574,793,501,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.061789,823,521,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.069852,841,532,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.077906,841,532,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.086447,841,532,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.095767,874,547,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.109301,902,556,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.120362,902,556,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.136307,928,564,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.153772,942,569,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.169918,957,575,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.186503,968,581,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.201747,978,585,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.217149,983,589,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.232253,986,590,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.247552,987,591,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.262976,990,593,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.271066,994,597,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.279134,994,597,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.28729,994,597,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.303672,997,599,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.319714,998,600,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.337306,1000,600,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.353992,1004,603,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.370748,1006,605,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.385837,1011,609,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.401884,1012,609,move,0,,2,1,P1_TARGET,1,{}
2026-02-27_164756,5455.40544,1012,609,down,1,left,3,1,P1_TARGET,1,{}
2026-02-27_164756,5455.417052,1012,609,move,1,,3,1,P1_TARGET,1,{}
2026-02-27_164756,5455.433148,1012,609,move,1,,3,1,P1_TARGET,1,{}
